<<<<<<< Updated upstream
,,OdC Viareggio,OdC Barga,OdC Campo Marte,OdC Cecina,OdC Piombino,OdC Livorno,OdC Massa
Letto elettrico degenza (LINET),"€ 1.723,13",36,,,8,5,40,20
ECG,"3.000,00€",1,,,1,,2,
LAMPADA VISITA SU STATIVO,"1.200,00€",,,,,,4,
FRIGORIFERO,"3.000,00€",1,,,1,,2,
DAE+ ASPIRATORE PER CARRELLO EMERGENZA,"1.500,00€",1,,,,,2,
Lavapadelle (ARJO),"€ 5.048,34",2,,,1,,2,1
Vuotatoio (ARJO),"€ 1.868,14",2,,,,,2,1
=======
,,OdC Viareggio,OdC Barga,OdC Campo Marte,OdC Cecina,OdC Piombino,OdC Livorno,OdC Massa
Letto elettrico degenza (LINET),"€ 1.723,13",36,,,8,5,40,20
ECG,"3.000,00€",1,,,1,,2,
LAMPADA VISITA SU STATIVO,"1.200,00€",,,,,,4,
FRIGORIFERO,"3.000,00€",1,,,1,,2,
DAE+ ASPIRATORE PER CARRELLO EMERGENZA,"1.500,00€",1,,,,,2,
Lavapadelle (ARJO),"€ 5.048,34",2,,,1,,2,1
Vuotatoio (ARJO),"€ 1.868,14",2,,,,,2,1
>>>>>>> Stashed changes
Sollevatore (ARJO),"€ 4.680,00",2,,,,,2,1
