Tipologia,Codice,Nome_Struttura,Zona,Classificazione,Comune,Provincia,Indirizzo,CAP,PNRR,Posti_Letto
CdC,CDC001,CdC Aulla,Lunigiana,Hub,Aulla,,Piazza Roma,,NO,
CdC,CDC002,CdC Pontremoli,Lunigiana,Spoke,Pontremoli,,Via Mazzini 44,,NO,
CdC,CDC003,CdC Villafranca in Lunigiana,Lunigiana,Spoke,Villafranca in Lunigiana,,Via Baracchini,,NO,
CdC,CDC004,CdC Massa,Apuane,Hub,Massa,,Piazza 4 Novembre,,NO,
CdC,CDC005,CdC Montignoso,Apuane,Spoke,Montignoso,,Via Carlo Sforza 52,,SI,
CdC,CDC006,CdC Carrara centro,Apuane,Spoke,Carrara centro,,Piazza Sacco e Vanzetti 5,,SI,
CdC,CDC007,CdC Carrara Avenza,Apuane,Hub,Carrara Avenza,,Via Campo d'Appio,,SI,
CdC,CDC008,CdC Castelnuovo,Valle del Serchio,Hub,Castelnuovo,,Via Della Fabbrica (Castel),,NO,
CdC,CDC009,CdC Gallicano,Valle del Serchio,Spoke,Gallicano,,Via Beata Elena Guerra (Gall),,NO,
CdC,CDC010,CdC Piazza al Serchio,Valle del Serchio,Spoke,Piazza al Serchio,,Via Comunale 1 (Piazza),,NO,
CdC,CDC011,CdC Fornoli,Valle del Serchio,Spoke,Fornoli,,P.zza Aldo Moro (Bagni Lucca),,NO,
CdC,CDC012,CdC S. Leonardo In Treponzio,Piana di Lucca,Spoke,S. Leonardo In Treponzio,,Via Sottomonte snc,,SI,
CdC,CDC013,CdC Pescaglia,Piana di Lucca,Spoke,Pescaglia,,Via Donaldo Mei snc,,NO,
CdC,CDC014,CdC Marlia,Piana di Lucca,Hub,Marlia,,Via del Parco 3,,NO,
CdC,CDC015,CdC Turchetto,Piana di Lucca,Hub,Turchetto,,Piazza Nenni,,NO,
CdC,CDC016,CdC Campo di Marte,Piana di Lucca,Hub,Campo di Marte,,Via Ospedale 1,,NO,
CdC,CDC017,CdC Camaiore,Versilia,Spoke,Camaiore,,Via Guglielmo Oberdan 28,,NO,
CdC,CDC018,CdC Pietrasanta,Versilia,Spoke,Pietrasanta,,Martiri di Sant'anna snc,,SI,
CdC,CDC019,CdC Terminetto,Versilia,Spoke,Terminetto,,"Piazza Bonconsiglio 1, loc Terminetto",,NO,
CdC,CDC020,CdC Tabarracci,Versilia,Hub,Tabarracci,,Via Fratti,,NO,
CdC,CDC021,CdC Querceta,Versilia,Spoke,Querceta,,Via delle Contrade,,NO,
