Tipologia,Tecnologia,Locale,Struttura,Quantita,Costo_Unitario_EUR,Importo_Totale_EUR
OdC,Letto elettrico degenza (LINET),AMBULATORIO MEDICO,OdC Viareggio,36,1723.13,62032.61
OdC,Letto elettrico degenza (LINET),AMBULATORIO MEDICO,OdC Barga,20,1723.13,34462.56
OdC,Letto elettrico degenza (LINET),AMBULATORIO MEDICO,OdC Cecina,8,1723.13,13785.02
OdC,Letto elettrico degenza (LINET),AMBULATORIO MEDICO,OdC Piombino,5,1723.13,8615.64
OdC,Letto elettrico degenza (LINET),AMBULATORIO MEDICO,OdC Massa,20,1723.13,34462.56
OdC,ECG,AMBULATORIO MEDICO,OdC Viareggio,1,3000.00,3000.00
OdC,ECG,AMBULATORIO MEDICO,OdC Cecina,1,3000.00,3000.00
OdC,FRIGORIFERO,AMBULATORIO MEDICO,OdC Viareggio,1,3000.00,3000.00
OdC,FRIGORIFERO,AMBULATORIO MEDICO,OdC Barga,1,3000.00,3000.00
OdC,FRIGORIFERO,AMBULATORIO MEDICO,OdC Cecina,1,3000.00,3000.00
OdC,DAE+ ASPIRATORE PER CARRELLO EMERGENZA,AMBULATORIO MEDICO,OdC Viareggio,1,1500.00,1500.00
OdC,Lavapadelle (ARJO),,OdC Viareggio,2,5048.34,10096.67
OdC,Lavapadelle (ARJO),,OdC Barga,1,5048.34,5048.34
OdC,Lavapadelle (ARJO),,OdC Cecina,1,5048.34,5048.34
OdC,Lavapadelle (ARJO),,OdC Massa,1,5048.34,5048.34
OdC,Vuotatoio (ARJO),,OdC Viareggio,2,1868.14,3736.27
OdC,Vuotatoio (ARJO),,OdC Barga,1,1868.14,1868.14
OdC,Vuotatoio (ARJO),,OdC Massa,1,1868.14,1868.14
OdC,Sollevatore (ARJO),,OdC Viareggio,2,4680.00,9360.00
OdC,Sollevatore (ARJO),,OdC Barga,1,4680.00,4680.00
OdC,Sollevatore (ARJO),,OdC Massa,1,4680.00,4680.00
